BeerName,BreweryName,BreweryRegion,BeerStyle,BeerStyleRank,BeerABV,BeerScore,BeerScoreRank,BeerAvg,BeerReviews,BeerRating,BeerWants,BeerGots,BeerNotes
Sommer Bock,"Fredericksburg Brewing Company, Inc.","Texas, United States",Maibock,Not Given,7.5,Not Given,Not Given,0.0,0,0,0,0,None
Siguan,Twin Barns Brewing Company,"New Hampshire, United States",Maibock,Not Given,6.5,Not Given,Not Given,0.0,0,0,0,0,None
Poretti 5 Luppoli Bock Chiara,Carlsberg Italia S.p.A.,Italy,Maibock,89,6.5,79,28709,3.27,6,16,1,8,None
Main Road Maibock,Tradewinds Brewing Company,"New York, United States",Maibock,Not Given,7.2,Not Given,Not Given,3.36,1,0,0,0,None
Orbacher,The Quarter Barrel,"Iowa, United States",Maibock,Not Given,6.5,Not Given,Not Given,0.0,0,0,0,0,None
Ziegemeister Maibock,Neshaminy Creek Brewing Company,"Pennsylvania, United States",Maibock,37,8.2,87,17099,3.88,9,9,0,2,None
Berliner Geschichte Bock,Privatbrauerei Eibau i. Sa. GmbH,Germany,Maibock,Not Given,6.7,Not Given,Not Given,2.82,0,1,1,0,"This is a strong, well-fermented beer with bright aromas of sweet malt. A fairly dense, rounded body of beer with spicy notes and noble barely perceptible hop bitterness. Grain shades are felt on the aftertaste.Plato: 16° P"
Cabin Fever,New Glarus Brewing Company,"Wisconsin, United States",Maibock,79,6.0,82,26843,3.61,188,426,39,83,"Cool days draw us close to the warmth of home fires. This is the season to sip away the chill and embrace quiet evenings with friends and family. You hold a Wisconsin Style Honey Bock, easy going and more approachable than its traditional dark German cousin. Bock beers have existed in Wisconsin for over 150 years. This pale bock is brewed with an exclusive blend of Wisconsin two row barley that balances seamlessly with our special European hops. Naturally sweet Clover Honey was added in the kettle accenting warm flavor notes on your tongue. Whether you reminisce the passing summer sun or thrill to squeaky steps through drifting snow one thing is certain about winter in Wisconsin - this too shall pass."
1906 Reserva Especial,"Hijos De Rivera, S.A.",Spain,Maibock,92,6.5,76,29569,3.28,60,124,8,59,"Elegant, bright, amber beer. Aromas of roasted malt with soft notes of caramel and coffee. Water from the city of A Coruña, two-stroke malts (Pilsen and toast), corn, and hops Perle Hallertau. Selected yeast from Hijos of Rivera. Hops with slight floral and herbal nuances on the nose. Roasted taste predominates on the palate, with the hint of a pleasant, well-integrated warmth with each drink. Made from a specific wort in the exclusive production centre, Hijos de Rivera in A Coruña. It has one of the longest ageing periods among national lagers."
Vernal Genesis,Nepenthe Brewing Co.,"Maryland, United States",Maibock,Not Given,6.9,Not Given,Not Given,3.75,3,1,0,0,"To awaken you from your hibernal slumber. This love letter to German malt will keep you warm as we make the transition into Spring. Made from Pilsner, Vienna, and Munich. Hopped for balance with just enough Hallertau Mittelfrüh and lovingly lagered for several weeks. A deep burnished gold with a rich, bready, subtly sweet maltiness and a toasty complexity that gives way to a crisp, easy finish. It’s almost time to emerge from our collective hibernation."
Maibock,"Bayern Brewing, Inc. / Edelweiss Bistro","Montana, United States",Maibock,88,6.5,79,28677,3.37,16,27,2,1,"Bayern Maibock is the typical Bavarian spring-opener with lots of body and more. The color is golden brown and if you like malt flavor, this is it. Bayern Maibock is very malty and very easy to drink! This beer is brewed with two-row Harrington and Munich malt, has a moderate amount of Hallertauer and Saaz hops and an alcohol content of >6.5% alc. by vol. (starting gravity > 16 degrees Plato o.g.). Bayern Maibock is available in limited quantities on draft and in bottles. Please don’t underestimate its potency and don’t drive after enjoying Maibock."
Hells Navigator,Fair Winds Brewing Company,"Virginia, United States",Maibock,66,6.5,85,22358,3.66,1,9,0,2,"Strong, copper-colored lager brewed for the spring season. Pilsner, Vienna, and Munich malts are used to produce a slightly toasted character. The kettle hop additions of Perle and Tettnanger provide a mellow spice flavor and subtle citrus aromas."
Mai-waukee,Central Waters Brewing Co.,"Wisconsin, United States",Maibock,Not Given,5.9,Not Given,Not Given,4.0,1,0,0,0,None
Ellicottville Bock,Ellicottville Brewing Co.,"New York, United States",Maibock,47,7.0,87,17921,3.85,3,7,0,4,Smooth & full bodied with Slovenian hops.
Majbock,Ängöl,Sweden,Maibock,Not Given,6.8,Not Given,Not Given,3.79,0,1,0,0,None
Blade Breaker Maibock,Pondaseta Brewing Company,"Texas, United States",Maibock,Not Given,7.3,Not Given,Not Given,4.34,1,0,0,0,None
Liquidator,Bull N Bear Brewery,"New Jersey, United States",Maibock,Not Given,7.0,Not Given,Not Given,4.18,1,0,0,0,None
Bock to the Future,Clouds Brewing - Brewery & Taproom,"North Carolina, United States",Maibock,Not Given,6.7,Not Given,Not Given,3.86,1,1,0,0,"In celebration of our first anniversary this is a traditional German Maibock (Helles boxk). This well balanced beer has a medium body, a complex blend of sweet malt and spicy hop flavors , and a clean dry finish."
Munique,Giesinger Bräu,Germany,Maibock,Not Given,6.8,Not Given,Not Given,3.75,2,0,0,0,None
My Ambrosia,King River Brewing,Australia,Maibock,Not Given,8.0,Not Given,Not Given,3.48,1,0,0,0,None
Third Rock Maibock,Straight To Ale,"Alabama, United States",Maibock,Not Given,8.0,Not Given,Not Given,3.51,1,3,0,0,None
Maibock,Altstadt Brewery,"Texas, United States",Maibock,Not Given,7.0,Not Given,Not Given,0.0,0,0,0,0,"Honey-colored and bright, our traditional Springtime Helles Bock is a strong, well balanced beer brewed with Pilsner, Munich, and Vienna malts. The result is a crisp, clean, and smooth brew that is perfect for welcoming in the Texas Spring."
Maibock,NoDa Brewing Company,"North Carolina, United States",Maibock,Not Given,6.7,Not Given,Not Given,4.03,2,2,0,0,None
Ettaler Heller Bock,Klosterbrauerei Ettal,Germany,Maibock,32,7.2,88,16109,3.91,11,11,0,0,None
Maibock,Feldschlößchen,Germany,Maibock,48,7.2,86,19566,3.82,14,20,2,10,None
Sunset Condor,Bone Haus Brewing,"Arizona, United States",Maibock,Not Given,7.4,Not Given,Not Given,0.0,0,0,0,0,None
One Night in Maibock,Collaborative Brewing Company,"Vermont, United States",Maibock,Not Given,6.9,Not Given,Not Given,3.75,0,1,0,0,None
Ghosts Of Sego,Uinta Brewing Company,"Utah, United States",Maibock,Not Given,5.0,Not Given,Not Given,3.98,3,5,0,0,None
Low and Slow: Maibock,Westbrook Brewing Co.,"South Carolina, United States",Maibock,Not Given,8.0,Not Given,Not Given,3.57,1,0,0,0,None
Maibock Kellerbier,Jack's Abby Brewing,"Massachusetts, United States",Maibock,1,6.5,91,6197,4.26,8,5,3,2,"As the weather warms and spring blooms, it feels like the perfect time to debut the next entry in our Keller Series -- Maibock! Our celebratory bock lager marks the changing of the seasons with a delicate hop character and strong yet smooth finish. Like all of our Kellerbiers, this golden lager is left unfiltered to maximize flavor and adhere to tradition."
Bluma,Idle Hands Craft Ales,"Massachusetts, United States",Maibock,Not Given,6.5,Not Given,Not Given,3.91,3,6,1,1,"Dark gold with a sweet, bready yet light malt character. A touch of herbal/spicy and citrus hop notes comes through the finish."
La Cabra Dorada,Cowtown Brewing Co.,"Texas, United States",Maibock,Not Given,6.8,Not Given,Not Given,3.7,0,3,0,0,None
Can You Smell What The Bock Is Cooking?,Heist Brewery,"North Carolina, United States",Maibock,Not Given,6.0,Not Given,Not Given,3.59,0,1,0,0,"Our first ever Heller Bock. Fermented low and slow, this easy drinking spring helles style bock is light straw in color, with bright flavors of ripe citrus, delicate spice, and a subtle floral quality."
Primátor Maibock,Pivovar Náchod a.s.,Czech Republic,Maibock,75,7.5,83,25505,3.66,94,54,3,14,None
Angstrom,Mechanical Brewery,"New Jersey, United States",Maibock,Not Given,8.0,Not Given,Not Given,3.88,1,0,0,0,None
Blonde Dopplebock,Iron Exchange Tavern & Brewery,"Minnesota, United States",Maibock,Not Given,8.2,Not Given,Not Given,4.0,1,0,0,0,None
Barrel House BBA Ignitor Maibock,Braxton Brewing Company,"Kentucky, United States",Maibock,Not Given,9.92,Not Given,Not Given,4.1,1,0,0,0,None
Helles Bockerl,Landbrauerei Ludwig Erl,Germany,Maibock,Not Given,7.1,Not Given,Not Given,3.71,1,0,0,0,None
Altenmünster Maibock,Allgäuer Brauhaus AG,Germany,Maibock,68,7.5,84,23941,3.7,43,12,5,4,None
Maibock,Grass Valley Brewing Company,"California, United States",Maibock,Not Given,7.0,Not Given,Not Given,3.16,1,0,0,0,None
Dead 'N' Dead,Rogue Ales,"Oregon, United States",Maibock,8,9.5,89,11624,3.99,72,101,2,17,"Aged in Dead Guy Whiskey Barrels, Dead N' Dead is the evolution of Dead Guy Ale. The barrels enhance the robust malt and hop profiles of original Dead Guy Ale. The ale soaks in hints of oak and whiskey while maturing over several months at the Rogue ocean aging room."
Festbier,Spearfish Brewing Company,"South Dakota, United States",Maibock,Not Given,7.1,Not Given,Not Given,3.99,2,2,0,0,None
Ma-iowa Bock,Jubeck New World Brewing,"Iowa, United States",Maibock,Not Given,4.6,Not Given,Not Given,0.0,0,0,0,0,None
Mayday Maibock,Geronimo Brewing @Lilly's Jury Room,"Pennsylvania, United States",Maibock,Not Given,8.0,Not Given,Not Given,0.0,0,0,0,0,None
Mountain Queen,Triple C Brewing Co.,"North Carolina, United States",Maibock,Not Given,7.1,Not Given,Not Given,3.86,0,2,0,0,"Brewed in collaboration with our friends from the NC Mountains, Homeplace Beer Co. This German-style honey maibock was extensively lagered and has a solid malt backbone with biscuit and toasted bread flavors, along with a sweet aroma from the local honey."
Spectacular Vernacular,Annex Ale Project,"Alberta, Canada",Maibock,Not Given,6.7,Not Given,Not Given,4.21,1,1,0,0,None
Junebacca,Oliphant Brewing,"Wisconsin, United States",Maibock,Not Given,7.7,Not Given,Not Given,3.9,1,0,0,0,None
Ritter Kahlbutz Männerstolz,Privatbrauerei Eibau i. Sa. GmbH,Germany,Maibock,Not Given,6.8,Not Given,Not Given,2.84,1,0,0,0,None
Merino,Selvedge Brewing / The Wool Factory,"Virginia, United States",Maibock,Not Given,7.4,Not Given,Not Given,3.87,0,1,0,0,None
Strawgator,Abita Brewing Co.,"Louisiana, United States",Maibock,46,8.0,86,20079,3.82,49,137,11,55,"Abita Strawgator™ is the fusion of Strawberry Harvest Lager sweetness with the bite of Andygator. This golden lager is made with malted barley and wheat. It is hopped with German Perle hops for a delicate hop flavor. After filtration, generous amounts of fresh Louisiana strawberry juice are added, giving the beer a pleasant sweet taste and aroma, as well as a rich golden color and slight cloudiness. Strawgator is a great dessert beer. It pairs well with fruit, dessert or sorberts. It is also excellent with chocolate dishes and cheeses such as St. Andre, Mascarpone and Brie."
(Don't) Stand By Me,Mosinee Brewing Company,"Wisconsin, United States",Maibock,Not Given,7.8,Not Given,Not Given,0.0,0,0,0,0,None
Tortoise and the Hare,Parleaux Beer Lab,"Louisiana, United States",Maibock,Not Given,7.7,Not Given,Not Given,0.0,0,0,0,0,None
Wampa,Northbound Brewpub,"Minnesota, United States",Maibock,Not Given,10.9,Not Given,Not Given,4.03,1,0,0,0,None
Royal Envy,Archival Brewing,"Michigan, United States",Maibock,Not Given,5.8,Not Given,Not Given,3.56,0,1,0,0,None
Bock Bock,Urban Growler,"Minnesota, United States",Maibock,Not Given,6.6,Not Given,Not Given,3.81,1,0,0,0,None
Maibocalypse,Harpers Ferry Brewing,"Virginia, United States",Maibock,Not Given,7.8,Not Given,Not Given,0.0,0,0,0,0,None
Maibock,Iron Hill Brewery & Restaurant,United States,Maibock,Not Given,7.2,83,Not Given,3.64,14,22,0,0,None
Minaret Maibock,Mammoth Brewing Company,"California, United States",Maibock,Not Given,8.3,Not Given,Not Given,3.82,1,1,1,0,None
Frühlingsbock,Lillebräu,Germany,Maibock,Not Given,6.5,Not Given,Not Given,3.96,1,0,0,0,Hops: Hallertauer Mittelfrüh
Hairpin Turns,Nine Giant Brewing,"Ohio, United States",Maibock,Not Given,7.0,Not Given,Not Given,3.97,2,0,0,0,None
Maibock,Lawson's Finest Liquids,"Vermont, United States",Maibock,Not Given,6.2,Not Given,Not Given,4.04,2,0,0,0,None
Thy Økologisk Julebryg JuleRen,Thisted Bryghus,Denmark,Maibock,Not Given,7.9,Not Given,Not Given,2.83,2,0,0,0,None
Wanna Bock,Copper Trail Brewing Co.,"Minnesota, United States",Maibock,Not Given,7.1,Not Given,Not Given,4.05,4,0,0,0,None
Malort Maibock,More Brewing Co.,"Illinois, United States",Maibock,Not Given,6.2,Not Given,Not Given,4.02,1,0,0,0,None
Helles Bock,Bingo Beer Co,"Virginia, United States",Maibock,Not Given,7.0,Not Given,Not Given,3.9,5,1,0,0,None
Hubertus Bock,Hacker-Pschorr Bräu GmbH,Germany,Maibock,49,6.8,86,20476,3.81,58,112,11,19,None
Fabricated Happiness,Burning Blush Brewery,"North Carolina, United States",Maibock,Not Given,6.0,Not Given,Not Given,0.0,0,0,0,0,None
Hazel Maibock,Akronym Brewing,"Ohio, United States",Maibock,Not Given,6.5,Not Given,Not Given,0.0,0,0,0,0,None
Gerardus Wittems Kloosterbier Lentebok,Gulpener Bierbrouwerij B.V.,Netherlands,Maibock,Not Given,6.5,Not Given,Not Given,3.23,2,2,0,1,None
La Cobriza,Xicha Brewing,"Oregon, United States",Maibock,Not Given,6.5,Not Given,Not Given,0.0,0,0,0,0,None
Bock - Hell,Imprint Beer Company,"Pennsylvania, United States",Maibock,Not Given,6.8,Not Given,Not Given,3.75,0,1,0,0,None
Mistress Maibock,Mistress Brewing Company,"Iowa, United States",Maibock,Not Given,7.0,Not Given,Not Given,0.0,0,0,0,0,None
Unresolved,Attic Brewing Company,"Pennsylvania, United States",Maibock,Not Given,7.4,Not Given,Not Given,0.0,0,0,0,0,None
Defrostinator,Working Draft Beer Co.,"Wisconsin, United States",Maibock,Not Given,6.6,Not Given,Not Given,3.75,0,1,0,0,None
Heller Belli Bock,Aktienbrauerei Kaufbeuren AG,Germany,Maibock,80,6.9,82,26169,3.5,13,3,0,1,None
Six Feet Bock,Lakeville Brewing Co.,"Minnesota, United States",Maibock,Not Given,6.9,Not Given,Not Given,0.0,0,0,0,0,None
Hell'er Bock,Crux Fermentation Project,"Oregon, United States",Maibock,Not Given,7.2,Not Given,Not Given,3.66,1,0,0,0,None
Rainbock Lager,Utopian Brewery,"England, United Kingdom",Maibock,Not Given,7.0,Not Given,Not Given,3.98,1,0,0,0,None
Daydreams & Nightmares,Key City Brewing Company,"Mississippi, United States",Maibock,Not Given,7.3,Not Given,Not Given,0.0,0,0,0,0,None
Bockbier,Bierkeller,"South Carolina, United States",Maibock,Not Given,6.7,Not Given,Not Given,4.25,1,0,0,0,None
Maibock,Enegren Brewing Company,"California, United States",Maibock,22,6.7,89,13416,4.0,6,8,1,1,"Enegren Maibock is a traditional German-style helles bock brewed to celebrate the coming of spring. This strong spring lager has a lightly toasted and moderately sweet malt profile balanced with spicy and floral German noble hops. Willkommen Im Frühling!Hops: Herkules, Hallertauer, SaazMalts: German Pilsner, Vienna, CaraMunich III, Carafoam"
Dogwood Fest Maibock,Bright Penny Brewing Company,"North Carolina, United States",Maibock,Not Given,6.8,Not Given,Not Given,0.0,0,0,0,0,None
Updraft,Ghost Hawk Brewing Co.,"New Jersey, United States",Maibock,Not Given,7.7,Not Given,Not Given,4.2,1,2,0,1,None
Budde Bock,DeadBeach Brewery,"Texas, United States",Maibock,Not Given,6.7,Not Given,Not Given,0.0,0,0,0,0,None
Nothin On,Twin Span Brewing,"Iowa, United States",Maibock,Not Given,7.7,Not Given,Not Given,4.14,0,1,0,0,An intensely malty lager with hints of fruit and spice brewed to welcome in Spring.
Rye in Mai Bock Yard,Friendship Brewing Company / Benefit's Bistro,"Missouri, United States",Maibock,Not Given,8.0,Not Given,Not Given,4.0,1,0,0,0,None
Percheron Maibock,Evil Horse Brewing Company,"Illinois, United States",Maibock,Not Given,7.6,Not Given,Not Given,3.88,1,0,0,0,None
Maibock,Portsmouth Brewery,"New Hampshire, United States",Maibock,Not Given,7.0,Not Given,Not Given,3.9,5,1,0,0,"A celebratory beer that is light amber in color with a rich, malty sweetness & delicate hop flavor."
Helles Dee,Revolution Brewing,"Illinois, United States",Maibock,Not Given,4.8,Not Given,Not Given,3.71,0,1,0,0,None
The Hatch,Spiral Brewery,"Minnesota, United States",Maibock,Not Given,6.7,Not Given,Not Given,4.38,1,1,0,0,None
Spring Fever,East Troy Brewery,"Wisconsin, United States",Maibock,Not Given,7.0,Not Given,Not Given,0.0,0,0,0,0,None
1516 Heller Bock,Red Oak Brewery,"North Carolina, United States",Maibock,3,7.0,91,7532,4.22,6,6,0,1,None
My Neck My Bock,Hourglass Brewing,"Florida, United States",Maibock,Not Given,6.5,Not Given,Not Given,3.35,1,0,0,0,None
Maibock - Rotating Lager Series,Buoy Beer Company,"Oregon, United States",Maibock,Not Given,7.2,Not Given,Not Given,3.8,3,2,0,0,None
Digital Genie,DSSOLVR,"North Carolina, United States",Maibock,Not Given,6.9,Not Given,Not Given,3.83,0,2,0,0,None
Mai-be Mai-be Bock,Barley Brown's Brewpub,"Oregon, United States",Maibock,Not Given,6.5,Not Given,Not Given,3.89,0,1,0,0,None
Tripod Maibock Collaborative,Avery Brewing Company,"Colorado, United States",Maibock,Not Given,7.9,Not Given,Not Given,4.24,1,0,0,0,None
Lahaina Lager,Kohola Brewery,"Hawaii, United States",Maibock,Not Given,7.6,Not Given,Not Given,3.99,0,3,0,0,None
Ulmer Maibock,Familienbrauerei Bauhöfer GmbH & Co. KG,Germany,Maibock,70,7.2,85,22929,3.63,6,4,2,1,None
Residente - Maibock,Compañía Cervecera de Puerto Rico,Puerto Rico,Maibock,Not Given,7.0,Not Given,Not Given,2.75,0,1,0,0,None
Maibock,Jackson Street Brewing,"Iowa, United States",Maibock,Not Given,6.6,Not Given,Not Given,0.0,0,0,0,0,None
Red Winged Blackbird,Renaissance Brewing Company,"Oklahoma, United States",Maibock,Not Given,7.5,Not Given,Not Given,0.0,0,0,0,0,None
Helles²,Lucky Envelope Brewing,"Washington, United States",Maibock,Not Given,6.8,Not Given,Not Given,4.09,1,0,0,0,None
Rays,Swamp Head Brewery,"Florida, United States",Maibock,Not Given,6.5,Not Given,Not Given,3.74,0,1,0,0,None
County Wide: 2,Pour Man's Brewing Company,"Pennsylvania, United States",Maibock,Not Given,6.6,Not Given,Not Given,3.94,0,1,0,0,"A spring collaboration Lager by the Lancaster County Brewers Guild. This Bock is brewed with Pilsner and Munich malt and hopped aggressively in the kettle with Magnum, Hallertauer Mittelfrüh and Saaz. The floral and spice notes of the noble hops perfectly balance the malt sweetness."
Maibock,Alewife,"New York, United States",Maibock,Not Given,7.9,Not Given,Not Given,3.69,1,0,0,0,"Golden color, lightly sweet, hoppy, mild malt taste."
High Bridge Helles Bock,Earth Rider Brewery,"Wisconsin, United States",Maibock,Not Given,6.8,Not Given,Not Given,4.0,2,2,0,0,High Bridge Helles Bock is golden in color with a sweet and toasty malt aroma. Malt-forward flavor with honey tones. Balanced finish.
Signal from Noise,Ocelot Brewing Company,"Virginia, United States",Maibock,Not Given,7.2,Not Given,Not Given,4.18,0,2,0,0,None
Culture Keepers,Creature Comforts,"Georgia, United States",Maibock,Not Given,7.0,Not Given,Not Given,4.21,6,2,0,0,Collaboration with Burial Beer Co.
Danger Zone,Bath Brewing Company,"Maine, United States",Maibock,Not Given,12.0,Not Given,Not Given,4.41,1,0,0,0,None
St. Bonifatius,Privatbrauerei H. Egerer,Germany,Maibock,82,6.5,81,27430,3.45,9,14,1,1,None
Oohs And Aahs,Icarus Brewing Company,"New Jersey, United States",Maibock,Not Given,7.6,Not Given,Not Given,4.08,1,1,0,0,None
Frühlings Bock,Bürgerliches Brauhaus Wiesen,Germany,Maibock,Not Given,7.5,Not Given,Not Given,3.85,1,0,0,0,None
Soul of the Oak,Pure Project,"California, United States",Maibock,Not Given,7.0,Not Given,Not Given,4.18,2,0,0,0,None
Schmucker Rosébock,Privat Brauerei Schmucker Ober-Mossau KG,Germany,Maibock,52,8.0,86,20199,3.8,15,15,1,9,None
Whose Bock?? Maibock!!,Oliver Brewing Company,"Maryland, United States",Maibock,Not Given,7.0,Not Given,Not Given,3.63,2,1,0,0,This traditional Helles Bock has a smooth and toasty flavor profile and is deceptively smooth and easy drinking.
Maibock,Sandhills Brewing,"Kansas, United States",Maibock,Not Given,8.0,Not Given,Not Given,3.91,1,0,0,0,None
Helles Bock,Adams Street Brewery,"Illinois, United States",Maibock,Not Given,7.6,Not Given,Not Given,0.0,0,0,0,0,None
Maibock,Souris River Brewing,"North Dakota, United States",Maibock,Not Given,6.8,Not Given,Not Given,0.0,0,0,0,0,"With a strong malty mouthfeel that smooths the light spicy, earth hop flavor that comes through in the end, this classic strong lager is brewed in the winter to be enjoyed as a celebration of spring in May."
Town Musicians,Off Color Brewing,"Illinois, United States",Maibock,19,6.5,89,12743,4.01,7,10,2,0,We filled our mash tun to the brim with lightly toasted German malt and balanced it with just enough German hops before a long cold lager fermentation. The resulting beer features a complete malt profile balanced mostly by a round ethanol warmth in a traditional German style perfect for days with cold mornings and warm afternoons.
Bock To Spring,MPH Brewing,"Ohio, United States",Maibock,Not Given,6.8,Not Given,Not Given,3.75,1,0,0,0,None
Lenz Bock,Heater Allen Brewing,"Oregon, United States",Maibock,7,7.0,89,11011,4.02,24,24,1,1,"Maibock or Helles Bock, is the last beer of Germany's Starkbier (strong beer) season. It is the transition beer from the Bocks, Porters, and Dopplebocks of winter to the Pils, Helles, and Wheat beers of summer. Lenz translates to ""spring"" in German, which we thought would be the perfect name for this spring seasonal. Lenzbock is medium straw in color and has rich, nutty aromas complemented by floral, malty flavors and a slight bitter finish. This is one of our beers we have the pleasure of improving each year we make it and it has become one of our most anticipated seasonals that is available at the start of May."
MY Bock Maibock,Muddy York Brewing Co.,"Ontario, Canada",Maibock,Not Given,7.0,Not Given,Not Given,4.18,1,1,0,1,"In Germany, Maibock’s are a rite of spring, often brewed for special occasions. Coming in at 7% and 30 IBU, it’s a malt-forward lager, with rich toasty malts, light, peppery notes from the hops, and a clean, well-attenuated, dry finish."
Whose Bock?,River North Brewery,"Colorado, United States",Maibock,Not Given,9.2,Not Given,Not Given,4.27,1,1,0,0,None
Bilf,Mad Brewing,Spain,Maibock,Not Given,7.5,Not Given,Not Given,3.43,1,0,0,0,None
Foeder-Lagered Winterhammer,Schilling Beer Co.,"New Hampshire, United States",Maibock,Not Given,6.3,Not Given,Not Given,4.03,3,4,0,0,"Our winter seasonal bock, lagered in our American Oak Foeder. Orange marmalade and fresh baked bread meld with oak tannins and a mellow vanilla. The foeder lends a smooth finish."
Heller Bock,Augustiner-Bräu,Germany,Maibock,31,7.0,88,16069,3.91,10,15,6,3,A fullbodied and bright strong beer.
1859,Santiam Brewing Company,"Oregon, United States",Maibock,41,6.2,87,16932,3.89,4,8,0,0,None
Bock To the Future Part Two,Side By Each Brewing Co.,"Maine, United States",Maibock,Not Given,9.0,Not Given,Not Given,0.0,0,0,0,0,None
Bock Bock Bock Bock,Battle Street Brewery,"New York, United States",Maibock,Not Given,6.5,Not Given,Not Given,0.0,0,0,0,0,None
Makbock,Pint Nine Brewing Company,"Nebraska, United States",Maibock,Not Given,7.3,Not Given,Not Given,3.91,0,1,0,0,None
Maibock,Oswego Brewing Company,"Illinois, United States",Maibock,Not Given,7.2,Not Given,Not Given,3.75,0,1,0,0,None
Helles Bock Strong Lager,Collective Arts Brewing,"Ontario, Canada",Maibock,Not Given,7.0,Not Given,Not Given,0.0,0,0,0,0,"Our take on a traditional, Helles Bock. A Helles Bock is similar to a Helles Lager, but is brewed to bock strength, with the same strength but lighter in colour and more hop flavour! This brew is a golden amber in colour, with the familiar scent of honey. This beer is crisp, with a big mouthfeel and a malt backbone. The perfect beer to welcome in spring!"
My Neck Maibock,Elevation Beer Co.,"Colorado, United States",Maibock,Not Given,7.0,Not Given,Not Given,3.97,0,1,0,0,None
My Goat,Naked Dove Brewing Company,"New York, United States",Maibock,Not Given,6.5,Not Given,Not Given,3.77,1,1,0,0,None
Honey Maibock,Cape May Brewing Company,"New Jersey, United States",Maibock,Not Given,7.7,Not Given,Not Given,0.0,0,0,0,0,None
Spring Landscape (2022),Industrial Arts Brewing Company,"New York, United States",Maibock,Not Given,6.2,Not Given,Not Given,3.92,3,4,0,0,"Spring is coming; we promise! We're excited to release our 2022 NYS Spring Landscape Lager. This 100% NYS-sourced Helles Bock has subtle notes of honey and herbs, plus an unmistakable aroma of the middle of freshly baked bread. And all profits from this one go to Sustainable Hudson Valley!"
Spike Bock,Cedar Run Brewery,"Virginia, United States",Maibock,Not Given,7.0,Not Given,Not Given,3.77,0,1,0,0,None
Tors Maibock,Eerie Abbey Ales,"Oklahoma, United States",Maibock,Not Given,7.0,Not Given,Not Given,4.12,1,0,0,0,None
Maypole,Grimm Artisanal Ales,"New York, United States",Maibock,17,6.5,89,12521,4.01,9,11,1,0,"A classic grist of Vienna, Pilsner, and Munich malts and a dose of noble hops come together to create an easy-drinking full-bodied malty lager with an inviting deep golden hue."
Tipsy Goat,Oak Highlands Brewery,"Texas, United States",Maibock,Not Given,7.2,Not Given,Not Given,0.0,0,0,0,0,None
Maibock,Sloop Brewing,"New York, United States",Maibock,Not Given,7.7,Not Given,Not Given,3.93,0,1,0,0,None
Goat Destroyer,Old Irving Brewing Co.,"Illinois, United States",Maibock,26,7.5,88,14869,3.95,3,13,0,0,"GOAT DESTROYER makes its annual return! We first brewed this 7% Maibock in early 2017 to commemorate the Cubs World Series win and end of the 71-year Billy Goat curse.Brewed with German malts and hopped with noble hops, Tettnang and Hallertau Mittelfrüher, and Simcoe for a touch of tropical and pine. Crush this amped-up lager in memory of the Billy Goat curse that is no more"
Chicken Rock Bock,Candlewood Brewing,"Connecticut, United States",Maibock,Not Given,5.4,Not Given,Not Given,3.77,0,1,0,0,None
Sudmeister Bier Garten Bergbock Hell,Idar-Obersteiner Bierspezialtäten - Konfektionierungs GmbH,Germany,Maibock,Not Given,6.8,Not Given,Not Given,3.57,1,0,0,0,None
Maibock,Lariat Lodge Brewing Company,"Colorado, United States",Maibock,Not Given,7.0,Not Given,Not Given,3.85,0,1,0,0,None
Silver Palm Ale,Palm Tree Brewing Company,"California, United States",Maibock,Not Given,6.5,Not Given,Not Given,3.62,0,1,0,0,None
Copper Mtn Maibock,Silver City Brewing Co. / Silver City Restaurant & Ale House,"Washington, United States",Maibock,34,7.2,87,16489,3.9,10,8,0,0,"Warming you up on cool days, cooling you down on warm days, Maibock (or “May Bock”) is a traditional German-style lager celebrating the end of the harsh Alpine winter and the reemergence of the beer garden. Copper Mountain is a formidable, but approachable lager with a rich caramel sensibility encapsulated by a refreshing, easy-going texture.HOPS: SterlingMALTS: German Pilsner, Munich, CaramelIBU: 22"
Spring Rejuvenation,Riverlands Brewing Co,"Illinois, United States",Maibock,Not Given,6.8,Not Given,Not Given,4.09,2,2,0,0,"Maibock brewed with Tettnang hops, premium German malts, and German Lager yeast. A traditional German lager brewed to celebrate the arrival of spring, our Spring Rejuvenation is an expertly balanced beer. Expect bready and honey like malts balanced by herbal hops with just a hint of alcohol warmth. Its everything you need in a lager to carry you through till summer."
Maibock,Hopmeadow Brewing Company,"Connecticut, United States",Maibock,Not Given,8.0,Not Given,Not Given,0.0,0,0,0,0,None
Bock On Bock,Castle Island Brewing Co.,"Massachusetts, United States",Maibock,Not Given,8.8,Not Given,Not Given,0.0,0,0,0,0,None
LNTB Lentebok,Berging Brouwerij,Netherlands,Maibock,Not Given,5.2,Not Given,Not Given,3.75,1,1,0,0,None
Beer for Butchers,Off Color Brewing,"Illinois, United States",Maibock,Not Given,7.0,Not Given,Not Given,3.82,1,2,0,0,Brewed in collaboration with Kuma's Corner
Springbok,Utepils Brewing Co,"Minnesota, United States",Maibock,39,6.8,87,16919,3.89,6,7,0,0,"It's worth surviving a long, cold winter if you get to drink this in the spring. Springbok represents the gleeful leap from winter dreariness to spring renewal. It has all the depth and strength of a wintry lager, balanced with enough lightness to put a spring in your step."
